Name,Description,ShortName,Status,Email,WebsiteKey,ProfileUrl,Categories,Summary
Bengal Gazette 💙,"The original Bengal Gazette was started by James Augustus Hicky in 1780 in Calcutta, the then-capital of British India. Hicky’s Bengal Gazette was the first newspaper to be printed in Asia and prided itself on producing provocative, independent journalism. While Hicky’s Bengal Gazette only ran for two years, its spirit lives on in contemporary journalism about the subcontinent, including this very publication. [1] Today’s Bengal Gazette is a student-run publication based out of Berkeley dedicated to all topics related to Bengal, uniting the voices of Undergraduates, Graduates, Faculty and Alumni here at Cal. From our history, politics, culture, tradition, art, and literature, to our food, the Bengal Gazette strives to be a timeless platform to write and learn about Bengal. We are both a print magazine and a mobile platform, hoping to make a presence not just at Cal but throughout the Bangali Diaspora. Hope you read us!",BG,Active,,bengalgazette,https://callink.berkeley.edu/organization/bengalgazette,"Media & Publication Student Organizations, Undergraduate Organizations, Blue Heart Initiative Category","Publication devoted to covering all Bengali related events and topics, such as culture, politics and history"
BERC Undergraduate 💙,"BERCU is a community for undergraduates to plug into all the opportunities that the Berkeley Energy and Resources Collaborative (BERC) has to offer, addressing global and local energy & resources issues with respect to emerging energy technologies, environmental management, and policies. BERCU helps undergrads find their passion within energy and resources by offering educational events, industrial panels, graduate student mentorship programs, career fairs, and info-sessions, professional networking opportunities, as well as social events to find like-minded people.",BERCU,Active,,bercundergraduate,https://callink.berkeley.edu/organization/bercundergraduate,"ASUC Sponsored 2025-26-Student Activity Groups, Environmental & Sustainability Student Organizations, Undergraduate Organizations, Blue Heart Initiative Category",BERC Undergraduate supports students in finding their passion within energy and resources and to provide a network which supports them to take action.
BERKE1337 Cyber Security Team 💙,"We are BERKE1337 (berk-leet), UC Berkeley's only undergraduate cybersecurity club. We compete in CTFs, live attacker/defender competitions like CCDC and CPTC, and maintain a steadily growing lab network. Interested? No application or experience needed, just take a look at the website and come to a meeting!",BERKE1337,Active,,berke1337,https://callink.berkeley.edu/organization/berke1337,"ASUC Sponsored 2025-26-Student Activity Groups, Engineering/Computer Science Student Organizations, Undergraduate Organizations, Blue Heart Initiative Category","BERKE1337 provides a space for students interested in learning about cybersecurity through talks, competitions, workshops, and industry interactions."
Berkeley Art Museum Pacific Film Archive Student Committee,"The BAMPFA Student Committee aims to connect students to the Berkeley Art Museum and Pacific Film Archive (BAMPFA) through outreach and events. Each semester, we organize activities, small film screenings, and multimedia parties for students. The Committee also has an important role in advocating for students’ interests within the museum operations and on the Board of Trustees. The Student Committee takes applications for new members at the start of every fall and spring semester.",BAMPFA SC,Active,,bampfasc,https://callink.berkeley.edu/organization/bampfasc,"Arts Student Organizations, Undergraduate Organizations","The BAMPFA Student Committee works to connect students and the BAMPFA through outreach and events aimed at all members of the student community. Each semester, we organize activities, small film screenings, and multimedia parties for students."
Berkeley Bahai Club,"The Berkeley Bahá’í Club is a student organisation devoted to the practical implementation of the teachings of Bahá'u'lláh, founder of the Bahá’í Faith, on unity, justice, and selfless service. Bahá’ís believe social change starts with spirituality — individuals increasing their capacity for service and working for the betterment of neighborhoods and communities. In line with the teachings of the Bahá’í Faith, the Berkeley Bahá’í Club works to promote the essential oneness of humanity; to foster a spirit of fellowship and love among all peoples; to break down the racial, religious and other prejudices that are the greatest barriers to peace and unity in the world today; and to bring about the betterment of the world through good deeds and service. Since a necessary element in effecting such a change is the individual, the Bahá’í Club tries to nurture individual spiritual growth through the development of moral values, an upright character and increased capacity for service. To these ends, the Berkeley Bahá’í Club organises divers activities and events, including: ■ study circles for the systematic study of Bahá’í Writings and thoughtful discussion of spiritual, philosophical and sociological topics; ■ devotional gatherings for sharing prayers and inspirational readings from all religious traditions in a peaceful setting; ■ talks & lectures from guest speakers on relevant topics; ■ service projects as a venue for transforming words into action; ■ inter-faith collaborations to promote the basic unity of all religions; ■ social events aimed at creating fellowship. Membership is open to all. All who have an interest in the Bahá’í Faith's community building activities, irrespective of religious affiliation, are more than welcome to attend meetings and events. “And the honor and distinction of the individual consist in this, that he among all the world’s multitudes should become a source of social good. Is any larger bounty conceivable than this, that an individual, looking within himself, should find that by the confirming grace of God he has become the cause of peace and well-being, of happiness and advantage to his fellow men? No, by the one true God, there is no greater bliss, no more complete delight.” — ‘Abdu’l-Baha",BBC,Active,,berkeleybahaiclub,https://callink.berkeley.edu/organization/berkeleybahaiclub,"Spiritual Student Organizations, Undergraduate Organizations","The Berkeley Baha'i Club is a student organization devoted to the practical implementation of the teachings of Baha'u'llah on unity, justice, and selfless service."
Berkeley Ballroom Dancers 💙,"Berkeley Ballroom is a student-run organization that has been providing classes and ballroom events for dancers in Berkeley and the East Bay for the past 50 years! We cater to the needs of all dancers, whether experienced or not. Our social dance lessons are taught at the beginner level, but everyone is welcome to attend our dance lessons and events. For all of our events, no partner or experience is required, but if you have one or the other or both we would be happy to see you as well! We also provide dance lessons for engaged couples preparing for their big day, customized to suit their dance levels and personal preferences. Check out our instagram, @calballroom, and our website! Please contact us for any questions about joining.",BBD,Active,,berkeleyballroom,https://callink.berkeley.edu/organization/berkeleyballroom,"ASUC Sponsored 2025-26-Student Activity Groups, Performing Arts Student Organizations, Undergraduate Organizations, Blue Heart Initiative Category",Berkeley Ballroom is a student-run organization that has been providing ballroom classes and events for dancers in Berkeley and the East Bay for the past 50 years!
Berkeley Business Society,"Berkeley Business Society is a tight-knit community of diverse individuals who tackle real-world business problems for leading industry clients. Our consultants choose from one of five consulting projects, each encompassing a different concentration of business. Tailoring the club experience to every individual is our highest priority. We seek to build lasting relationships, as well as provide an unparalleled network of mentors and archive of professional resources. It is our hope that in BBS you will find an area of business that interests you, meaningful professional experience, and a lifelong community. Our 5 Consulting Concentrations Media: Work with a large-scale, industry-leading media corporation to solve real-world business problems while honing your research and analytical skills Finance: Develop quantitative strategy for a corporation or financial services firm by identifying and modeling novel opportunities for growth via investment Marketing: Design innovative solutions for a company to advance its branding and customer relations by developing campaigns and strategies that combine performance with creativity Social Impact: Deliver actionable recommendations for a nonprofit organization to solve its business problems through the employment of strategic analysis to create sustainable social impact Technology: Create high-impact solutions while gaining a deep understanding of the unique problems faced by a technology-based company through hands-on experience alongside entrepreneurs Visit our website for more information: berkeleybusinesssociety.com",BBS,Active,,berkeleybusinesssociety,https://callink.berkeley.edu/organization/berkeleybusinesssociety,"Professional Student Organizations, Undergraduate Organizations","Berkeley Business Society is a tight-knit community of diverse individuals who tackle real-world business problems for leading industry clients through one of five consulting projects, each encompassing a different concentration of business."
Berkeley Carillon Guild,"If you are interested in playing the carillon or play the carillon and want to become associated with the Sather Tower Carillon here at Berkeley, please contact us at(calbells@gmail.com) For more information about the Campanile, please see http://bells.berkeley.edu",BCG,Active,,berkeleycarillonguild,https://callink.berkeley.edu/organization/berkeleycarillonguild,"ASUC Sponsored 2025-26-Student Activity Groups, Performing Arts Student Organizations, Undergraduate Organizations","Berkeley Carillon Guild fosters relationships among students, alumni, and staff of the Sather Tower Carillon, addresses the problems of carillon students on campus, and provides awareness regarding the carillon program to the campus and community"
Berkeley Chinese Students and Scholars Association,"Berkeley Chinese Students and Scholars Association (BCSSA) is a student organization registered at ASUC (Associated Students of the University of California) on Berkeley campus. We are a non-profit and non-political organization dedicated to social, intellectual and cultural activities for Chinese students and scholars at UC Berkeley as well as other interested members in the Berkeley community. We have nearly 5000 registered members and is still in rapid growth.",BCSSA,Active,,bcssa,https://callink.berkeley.edu/organization/bcssa,"ASUC Sponsored 2025-26-Student Activity Groups, Cultural & Identity/International Student Organizations, Undergraduate Organizations, ABSA-Allocated Hearst Storage","Berkeley Chinese Students and Scholars Association is a non-profit organization dedicated to promote social, intellectual and cultural activities for UC Berkeley Chinese students."
Berkeley Christian Fellowship,"We are a student Christian fellowship brought together by faith and biblical truth. This semester, our theme will be ""Youth in the Bible"". We will be reflecting on the lives of different youth in the Bible, applying teachings from their lives, and thinking about how we can live as young Christians. If you are interested in joining or attending our meetings, please contact us via our Instagram page www.instagram.com/berkeleychristianfellowship or to find our more about our beliefs, you can visit www.tjc.org.",BCF,Active,,berkeleychristianfellowship,https://callink.berkeley.edu/organization/berkeleychristianfellowship,"Spiritual Student Organizations, Undergraduate Organizations","We are a student Christian fellowship brought together by faith and biblical truth. If you are interested in learning more, please contact us via our Instagram page www.instagram.com/berkeleychristianfellowship"
Berkeley College Republicans,"The Berkeley College Republicans is one of the largest and most active student run organizations at UC Berkeley and is the largest College Republican organization in the state of California. BCR offers Berkeley students the opportunity to have truly civil, open discussion of the issues of the day.",BCR,Active,,berkeleycollegerepublicans,https://callink.berkeley.edu/organization/berkeleycollegerepublicans,"Political & Advocacy Student Organizations, Undergraduate Organizations",The Berkeley College Republicans is one of the largest and most active student run organizations at UC Berkeley and is the largest College Republican organization in the state of California.
Berkeley Consulting,"As Berkeley’s first established consulting organization, BC has the privilege of providing its services across a broad spectrum of organizations. We work on semester-long engagements to provide valuable research insights and actionable recommendations to our clients. We are devoted to delivering high-impact solutions and pride ourselves on our ability to catalyze meaningful change within the organizations we work with as well as our close-knit culture. Check out our website at bc.berkeley.edu for more information",BC,Active,,1996,https://callink.berkeley.edu/organization/1996,"Professional Student Organizations, Undergraduate Organizations","Berkeley Consulting (BC) is an student-run nonprofit management consulting organization that provides innovative solutions to core business problems faced by its clients. Founded in 1996, BC is the first established consulting organization at UC Berkeley."
Berkeley Economic Review,"The Berkeley Economic Review (BER) is the University of California at Berkeley’s premier peer-reviewed undergraduate economics journal, publishing undergraduate research papers, honors theses, and original content in economics and economics-related fields. As a member of Berkeley Economic Review, you will experience the inner workings of one of the most prestigious undergraduate economics journals on the planet. BER members work firsthand with professors and have access to networking and other career opportunities with professionals in this field. They get in-depth experience with the process of economic research and learn about today’s most crucial economic topics. Most importantly, being a part of BER connects you with a friendly community of fellow students who are passionate about this subject, providing each other with invaluable academic and career advice. For more information, please visit our website at http://econreview.berkeley.edu/.",BER,Active,,econreview,https://callink.berkeley.edu/organization/econreview,"ASUC Sponsored 2025-26-Publication Groups, Media & Publication Student Organizations, Undergraduate Organizations","The Berkeley Economic Review (BER) is the University of California, Berkeley’s premier peer-reviewed undergraduate economics journal, publishing undergraduate research papers, honors theses, and original content in economics and economics-related fields."
Berkeley Energy and Resources Collaborative (Graduate group) 💙,"The Berkeley Energy & Resources Collaborative (BERC) is a multidisciplinary network of UC Berkeley students, alumni, faculty, industry professionals, and advisors who seek to turn world-leading research into world-changing solutions by tackling tough and timely energy and environmental challenges. More specifically, BERC’s mission is to connect, educate, and engage its members in order to foster innovation and action. To that end, BERC: Connects nearly 3,000 members as a part of a broad, cross-disciplinary network of students, faculty and professionals in the fields of energy and resources; Educates students about cutting edge work in energy and resources through organizing events, lectures, and treks; and Engages members by providing opportunities to address global energy and resources issues and collaborate on real-world projects. Please signup at http://berc.berkeley.edu by clicking the 'join' button in the top right corner. Find our full events calendar at http://berc.berkeley.edu/events",BERC,Active,,berc,https://callink.berkeley.edu/organization/berc,"Graduate Student Organizations, Haas MBA RSO, Blue Heart Initiative Category","BERC is a multidisciplinary network of UC Berkeley students, alumni, faculty, industry professionals, and advisors who seek to turn world-leading research into world-changing solutions by tackling tough and timely energy and environmental challenges."
Berkeley Environmental Economics and Policy Students 💙,"BEEPS builds an academic, professional development, and social community for all students interested in Environmental Economics and Policy. They cultivate a hub of resources and support that connects students with peers, professors, alumni, and industry professionals through networking events, a mentorship program, and speaker events. Most importantly, BEEPS fosters a community of connected students interested in EEP by hosting social events. https://linktr.ee/calbeeps https://www.youtube.com/watch?v=79ZMK-LcIlI",BEEPS,Active,,beeps,https://callink.berkeley.edu/organization/beeps,"ASUC Sponsored 2025-26-Student Activity Groups, Academic Student Organizations, Undergraduate Organizations, Blue Heart Initiative Category","BEEPS connects current and prospective Environmental Economics and Policy students with their peers, professors, alumni, and relevant industry professionals."
Berkeley Fiction Review 💙,"The Berkeley Fiction Review is a UC Berkeley undergraduate, student-run publication and is one of several descendants of UC Berkeley’s Occident literary journal, which was published from 1881 to the 1960s. Established in 1981 by Julia Littleton, Jenne Mowry, Joe Sciallo, and Paul Wedderien, BFR is now UC Berkeley’s oldest prose journal. In 2012, the Berkeley Fiction Review was named “Best Literary Publication” on campus by the Associated Students of the University of California. We look for innovative and reflective short fiction from new and emerging writers from around the world across all genres that play with form and content, as well as traditionally constructed stories with fresh voices and original ideas that say something new or bring nuance and perspective to an ongoing cultural conversation. We invite submissions of previously unpublished short stories year-round and publish annually. We nominate to O. Henry, Best American Short Stories, and Pushcart prizes. Our DeCal class takes place during both semesters of the school year. Members of the class read submissions for the journal and vote on them in class. The goal of the class is to teach foundational skills within the publishing and media industries as well as give students experience in publishing quality short fiction.Over the course of the semester, we will determine qualities of a good story, as well as learn about the publishing process. The class is graded pass/not pass, and can be taken for 1-2 units. No experience is necessary; all Berkeley students are welcome. We also welcome auditors. Enrollment form now closed. Berkeley students who have filled out our enrollment form must also attend a mandatory info session on 9/4 from 6 - 8:30pm in Social Sciences 56.",BFR,Active,,berkeleyfictionreview,https://callink.berkeley.edu/organization/berkeleyfictionreview,"Media & Publication Student Organizations, Undergraduate Organizations, Blue Heart Initiative Category","The Berkeley Fiction Review is UC Berkeley's premier prose journal. We publish a print anthology that includes artwork and 12-15 short stories from around the world as well as an online magazine focused on book reviews, culture, and personal essays."
Berkeley Indonesian Student Association,"The Berkeley Indonesian Student Association (BISA) was established in 1985. BISA's main purpose is to create stronger friendships between Indonesian students at UC Berkeley and help create greater awareness of Indonesian culture. BISA strongly believes in the essentiality of this action because there is something uniquely diverse and fascinating about being able to speak your own language with a close group of people, in a setting so foreign and far away from home. Indonesia is a rapidly developing country. It is one of the fastest growing economies in the world and is home to a multitude of great historical monuments and young intellectual minds. Through connecting students with keynote characters, alumni, and each other, BISA aims to be a platform of learning for its members where they can also inspire, and more importantly, be inspired. BISA was created by the students and for the students. Through continuously building a larger and closer community, we aim to support each other as the people we are now and the people we will soon become.",BISA,Active,,bisa,https://callink.berkeley.edu/organization/bisa,"Cultural & Identity/International Student Organizations, Undergraduate Organizations",Berkeley Indonesian Student Association (BISA) was established in 1985. BISA hopes to foster a strong sense of community among Indonesian students and create greater awareness of Indonesian culture at UC Berkeley.
Berkeley Innovation,"Berkeley Innovation is a human-centered design group at UC Berkeley. Founded in 2003, our members come from a wide range of disciplines, but share a common love for design thinking and innovation. Each semester, we work on design projects that give members hands-on experience with the entire design process, from conducting user research to building and marketing prototypes. We exist as a community for students who are interested in design to develop their design thinking skills and experience. We also run the Human-Centered Design DeCal—an introductory, project-based course teaching the fundamentals of design (learn more at hcd-decal.org). Engage with us! Follow our Instagram @berkeleyinnovation and learn more about our process and work at berkeleyinnovation.org *Name approved by OMBO 3/17/09",BI,Active,,berkeleyinnovation,https://callink.berkeley.edu/organization/berkeleyinnovation,"ASUC Sponsored 2025-26-Student Activity Groups, Professional Student Organizations, Undergraduate Organizations, ABSA-Allocated Hearst Storage","Berkeley Innovation is a human-centered design group at UC Berkeley. Founded in 2003, our members come from a wide range of disciplines, but share a common love for design thinking and innovation."
Berkeley Investment Group,"We run a student-raised investment fund, giving the Berkeley Community the opportunity to participate and gain experience in the world of investing. We bring in numerous financial speakers, run specialized educational programs and mock trading competitions, and organize professional workshops.",BIG,Active,,berkeleyinvestmentgroup,https://callink.berkeley.edu/organization/berkeleyinvestmentgroup,"ASUC Sponsored 2025-26-Student Activity Groups, Professional Student Organizations, Undergraduate Organizations",Semester long Analyst Internship; Lectures on Investment Strategies; Open-Forum Discussions; Hands-On Analysis of Companies/Industries; Real and Virtual Investing; Guest Speakers on Special Topics; Professional Workshops; Career Leads for Finance Jobs
Berkeley Journal of Criminal Law 💙,"The Berkeley Journal of Criminal Law provides a forum for the discussion of regional, national, and international criminal law issues. Since its inception in 2000, the journal has published cutting-edge scholarship by professors, judges, research fellows, clerks, and law students from across the country. In addition to our publication, we host regular events to engage students, faculty and the larger community in discussions about important contemporary topics in criminal law and social justice. We seek submissions from scholars, students, and practitioners in both the private and public sectors. In addition to traditional scholarly articles, BJCL will consider book reviews, practice-oriented pieces, and student notes. While the journal publishes work covering a broad range of traditional topics in both substantive and procedural criminal law, we are also interested in articles that discuss issues unique to California and other western states. BJCL publishes on an ongoing basis and is completely digital (though authors can get hard-copy prints). We publish our Fall Edition in January and our Spring Edition in June.",BJCL,Active,,gaberkeleyjournalofcriminallaw,https://callink.berkeley.edu/organization/gaberkeleyjournalofcriminallaw,"Graduate Student Organizations, Blue Heart Initiative Category","The Berkeley Journal of Criminal Law provides a forum for the discussion of regional, national, and international criminal law issues. The journal regularly publishes cutting-edge scholarship from professors, judges, research fellows, and law students."
Berkeley Journal of Employment and Labor Law,,BJELL,Active,,bjell,https://callink.berkeley.edu/organization/bjell,"Graduate Student Organizations, Blue Heart Initiative Category","The Berkeley Journal of Employment and Labor Law (formerly Industrial Labor Relations Law Journal) presents current developments in the labor and employment law field to scholars, practitioners, and students."
Berkeley Journal of Entertainment and Sports Law 💙,"The Berkeley Journal of Entertainment & Sports Law (BJESL) is a student-run publication and scholarly community dedicated to fostering high-level, timely discussion of legal issues that contemporaneously impact the entertainment and sports world, both domestically and internationally. As an interactive and completely-online law journal, BJESL presents a unique platform for rich, diverse legal analysis that will serve scholars, practitioners, and students in these fields. Issues will contain approximately four articles by professors, practitioners, or students on current topics relating to sports and entertainment law.",BJESL,Active,,bjesl,https://callink.berkeley.edu/organization/bjesl,"Graduate Student Organizations, Blue Heart Initiative Category","The Berkeley Journal of Entertainment & Sports Law (BJESL) is a student-run publication and scholarly community dedicated to fostering high-level, timely discussion of legal issues that contemporaneously impact the entertainment and sports world."
"Berkeley Journal of Gender, Law & Justice 💙","BGLJ’s primary activity during the school year is to publish one annual volume of intersectional feminist legal scholarship. This process includes selection of scholarship through a consensus-inspired process of voting by our membership, and through the multi-phase editorial process. Members meet on a bi-weekly basis to discuss the merits of proposed academic articles. In addition to the publication of our journal, we sponsor and co-sponsor events relating to the editorial mandate of our journal such as our own annual symposium and other co-sponsored symposia, lectures, and discussions. This year we also plan to host more social events related to gender’s intersection with other axes of subordination such as race, class, sexual orientation, disability, and colonialism. Since we also act as a source of community and belonging for members, we also provide a number of supportive programs and services particularly for our members, such as an outline bank, a library of study aids, office resources, membership mentoring, and alumni networking.",BGLJ,Active,,gaberkeleyjournalofgenderlawandjustice,https://callink.berkeley.edu/organization/gaberkeleyjournalofgenderlawandjustice,"Graduate Student Organizations, Blue Heart Initiative Category","Our mandate is to publish feminist legal scholarship that critically examines the intersection of gender with one or more other axes of subordination, including, but not limited to, race, class, sexual orientation, and disability."
Berkeley Journal of International Law,Please see https://www.law.berkeley.edu/library/ir/bjil/ for further information.,BJIL,Active,,bjil,https://callink.berkeley.edu/organization/bjil,Graduate Student Organizations,"BJIL is a student-run journal at Berkeley Law publishing on a broad range of scholarship in public international, private international, and comparative law."
Berkeley Journal of Sociology,,BJS,Active,,bjs,https://callink.berkeley.edu/organization/bjs,Graduate Student Organizations,"A graduate student journal that publishes essays, photo essays, commentary and interviews on contemporary social and societal issues, online and in print."
Berkeley Medical Reserve Corps,"The Berkeley Medical Reserve Corps (BMRC) is a deployable unit of healthcare volunteers that can be called on to serve in times of local, state, or federal emergencies. We are composed mostly of EMTs, and provide opportunities for members to use their licenses, refresh their skills, and serve the Berkeley community in a number of efforts. We work closely with the Office of Emergency Management and University Health Services in preparing campus for emergency scenarios. We currently provide medical support for Cal Athletics events such as Cal football and basketball games, participate in several large-scale emergency drills in the Bay Area, regularly teach CPR classes for community members, and partner with other local healthcare organizations to provide a diversity of experiences for our volunteers. To join, look out for our First General Meeting at the start of every semester! Follow us on Instagram (@mrcberkeley) in order to receive that information and more!",BMRC,Active,,bmrc,https://callink.berkeley.edu/organization/bmrc,"ASUC Sponsored 2025-26-Student Initiated Service Groups, Service Student Organizations, Undergraduate Organizations","To unite student EMTs (emergency medical technicians) and those interested in being EMTs on campus, providing opportunities to use their licenses, refreshish their skills, and offerish a forum to discuss EMS as it relates to Berkeley and beyond."
Berkeley Model United Nations Conference (Formerly known as Berkeley Model United Nations),"A little about us: Berkeley Model United Nations is a student-run organization on the UC Berkeley campus dedicated to planning and hosting the biggest Model United Nations conference on the West Coast. Every March, over 2,000 high school students from all over the world come to Berkeley to participate in Berkeley Model United Nations. Entering its 72st session, BMUN’s mission is to spread awareness of international issues and the spirit of diplomacy through UN simulations. We also aim to create an educational experience for high school students, to help them realize their potential in public speaking as well as policy debate. We do this by serving as head chairs on a diverse group of committees in which we help to facilitate delegate education through substantive diplomatic debate.",BMUN,Active,,bmun,https://callink.berkeley.edu/organization/bmun,"ASUC Sponsored 2025-26-Student Activity Groups, Service Student Organizations, Undergraduate Organizations, ABSA-Allocated Hearst Storage",We are an International Relations Non-profit that works to provide educational opportunities for students in the Bay Area. We host a 2000+ person conference in the spring of each year to raise money for our chosen philanthropic cause each year.
Berkeley New Music Project 💙,"The Berkeley New Music Project (BNMP) is a collective of UC Berkeley's graduate-level composers and composition faculty within the UC Berkeley Department of Music whose aim is to promote contemporary music and art. As a result of our efforts, we have been able to organize public concerts of our music in collaboration with esteemed local and international artists.",BNMP,Active,,berkeleynewmusicproject,https://callink.berkeley.edu/organization/berkeleynewmusicproject,"Graduate Student Organizations, Blue Heart Initiative Category","BNMP helps to produce new music works by UC Berkeley Graduate and Faculty composers, as well as those artists affiliated with the university."
Berkeley Organization for Animal Advocacy 💙,"Berkeley Organization for Animal Advocacy (BOAA) is Cal's home for animal rights activism and plant-based community! Join us if you're an animal lover, life-long vegan, or anywhere in between. We are completely inclusive and love any students who want to change the world, undergraduate or graduate! Our vision is of a world where all individuals are safe, happy, and free. We host events like cooking socials and retreats, educate students about animal issues, and push UC Berkeley's administration and student government to reject factory farming. Recently, we've helped pass an ASUC resolution to make all of their catered events plant-based, marched for Measure DD to make Berkeley the first city in the US to ban factory farms, and hosted the 2025 AI for Animals conference! In addition to taking action for animals, we host solidarity events with labor groups, environmental groups, and food justice organizations on-campus. Factory farming and animal oppression affects the non-human world, but also low-income communities, people of color, and the health and culture of our society. We stand in firm solidarity with other social justice groups and are dedicated to total liberation for humans and animals alike. Join us in Fall 2025! Whether you're here for the hikes and game nights, volunteer opportunities at animal sanctuaries, or activism committees, we're excited to meet you! Sign up here: https://forms.gle/j5XCkBYh3kHjkHox6 Follow us for updates on Instagram: @boaa_ucb",BOAA,Active,,boaa,https://callink.berkeley.edu/organization/boaa,"ASUC Sponsored 2025-26-Student Activity Groups, Political & Advocacy Student Organizations, Undergraduate Organizations, ABSA-Allocated Hearst Storage, Blue Heart Initiative Category",BOAA is Cal's home for animal rights activism and plant-based community!
Berkeley Poetry Review,"The Berkeley Poetry Review has been published at the University of California, Berkeley, since 1974. It is widely regarded as one of the premier student-run journals in the country. We’ve featured the work of both new and established poets and writers, including Lawrence Ferlinghetti, Pablo Neruda, Brenda Hillman, Czesław Miłosz, Cole Swensen, Robert Hass, Ishmael Reed, Thom Gunn, and many others from the Bay Area poetry community. We seek language-based and/or experimental writing, translations, art, and (less frequently) essays and interviews. We are particularly interested in work that complicates prevailing conceptions of poetic form and narrative voice.",BPR,Active,,berkeleypoetryreview,https://callink.berkeley.edu/organization/berkeleypoetryreview,"ASUC Sponsored 2025-26-Publication Groups, Media & Publication Student Organizations, Undergraduate Organizations","Berkeley Poetry Review (BPR) is the University of California, Berkeley's longest-running poetry journal, published annually since 1974. It is widely regarded as one of the premier student-run journals in the country."
"Berkeley Political Review, The","The Berkeley Political Review was founded in the aftermath of the September 11, 2001 attacks by UC Berkeley students who wanted to offer a source of impartial analysis on the issues that most affect students and the world we live in. Since then, BPR has covered five presidential elections, the war in Iraq, the expansion and subsequent erosion of the European Union, immigration raids, drone strikes, the Great Recession, 20 years of Berkeley protest movements, the politics of ethanol, the approval of new medications, divestment from fossil fuels, the COVID-19 pandemic, and everything in between. We strive to provide cutting, original journalism on both the topics that dominate global headlines and those that slip beneath the radar of major press outlets. We have always been and remain entirely run by undergraduate students, from our newest staff writers to our most veteran editors and from our financial management to our coverage of Indian politics. If you would like to support our mission of producing a free and high-quality campus publication and cultivating the next generation of truth-seeking journalists, please donate here using our name.",BPR,Active,,berkeleypoliticalreview,https://callink.berkeley.edu/organization/berkeleypoliticalreview,"ASUC Sponsored 2025-26-Publication Groups, Media & Publication Student Organizations, Undergraduate Organizations, ABSA-Allocated Hearst Storage, ABSA - Budgeted over $7500 Organizations",UC Berkeley's only non-partisan political magazine. Read the Review and learn more at bpr.berkeley.edu!
Berkeley Public Policy Journal,"The Berkeley Public Policy Journal is a student-led publication of the Goldman School of Public Policy at the University of California, Berkeley. The Journal engages readers in a public dialogue on current policy issues, reflecting the diverse views of our students, faculty, and alumni. We publish articles that critique, analyze, and provide recommendations on critical issues with the goal of influencing policy leaders.",BPPJ,Active,,berkeleypublicpolicyjournal,https://callink.berkeley.edu/organization/berkeleypublicpolicyjournal,Graduate Student Organizations,"As the student-run journal of the Goldman School of Public Policy at the University of California, Berkeley, we are dedicated to providing a forum for policy-related articles that span a wide range of topics."
Berkeley Science Review,The Berkeley Science Review is a magazine run by graduate students that educates the campus community about groundbreaking research at UC Berkeley and fosters discussion of current science policy issues facing the Berkeley community. We also train scientists and nonscientists to communicate scientific research to the public in a manner that is engaging and accessible to nonspecialist readers.,BSR,Active,,berkeleysciencereview,https://callink.berkeley.edu/organization/berkeleysciencereview,Graduate Student Organizations,The Berkeley Science Review is a graduate-student-run magazine that communicates the impact of scientific research conducted at UC Berkeley to a nonspecialist audience and explores the relationship of science with our broader community.
Berkeley Scientific Journal,"BSJ is the premier undergraduate research journal of the University of California, Berkeley. Every semester, our undergraduate staff publishes independent research done by undergraduates at UC Berkeley, interviews with faculty members, and features articles on current issues in science. All research papers and features articles are reviewed by faculty members. The initial purpose of the journal was to provide an official forum in which Berkeley undergraduates could publish their independent research. But since its inception in 1996, the purpose of the journal has expanded to give the Berkeley scientific community a better understanding of how events here at Berkeley impact global concerns. The focus of the journal is broad, spanning scientific disciplines ranging from ecology to engineering, from astronomy to biochemistry. Our intended audience includes, but is not limited to, UC Berkeley students, faculty, and the surrounding community. A new issue of BSJ is published twice a year in print and on our website. See our website, bsj.studentorg.berkeley.edu, for more information on the journal, and decal.berkeley.edu for a link to our application. You must submit an application to our DeCal for consideration as part of our journal; we do not accept membership requests through CalLink.",BSJ,Active,,bsj,https://callink.berkeley.edu/organization/bsj,"ASUC Sponsored 2025-26-Publication Groups, Media & Publication Student Organizations, Undergraduate Organizations, ABSA-Allocated Hearst Storage","BSJ is a biannually published, student-run journal featuring interviews with faculty members from various fields, undergraduate research projects spanning a broad range of scientific disciplines, and features articles revolving around a central theme."
Berkeley Student Leadership Academy,"The Berkeley Student Leadership Academy is a series of engaging workshops and customized experiences that help undergraduate students develop leadership competencies. The workshops relate to leadership, engagement, and diversity, equity, inclusion, and belonging (DEIB) on campus. Registered participants will receive information about Berkeley Student Leadership Academy workshop series, specialized content, and access to mentorship and networking opportunities. Visit the Berkeley Student Leadership Academy website for more information.",,Active,,berkeleystudentleadershipacademy,https://callink.berkeley.edu/organization/berkeleystudentleadershipacademy,Campus Departments,The Berkeley Student Leadership Academy is a series of engaging workshops and customized experiences that help undergraduate students develop leadership competencies.
